Date,Value,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,Lag_1,Lag_7,Lag_30,Day_of_Week,Month,Quarter
2020-01-31,113.234380216681,109.76332927664103,5.529272685327768,104.40535584862218,116.58488330481254,115.54952782704777,100.51604709704756,4,1,1
2020-02-01,105.49972348636867,109.1847733813769,5.762330410259065,104.55403852549244,113.234380216681,109.54961475321765,101.03924318026084,5,2,1
2020-02-02,108.53863118233356,108.38964406795307,5.3387658995577425,104.58433309780713,105.49972348636867,114.10453637630042,107.62979401289304,6,2,1
2020-02-03,103.93165447624715,108.4038688451232,5.324712855821902,104.51626825641308,108.53863118233356,103.83208103605621,105.97359971806816,0,2,1
2020-02-04,107.8125224741931,108.13602151108223,5.29646590950432,104.92853147067744,103.93165447624715,109.68745381247984,95.44462604626268,1,2,1
2020-02-05,113.27865836887503,109.84006478707302,4.625840683224718,105.5004556300722,107.8125224741931,101.35035543693964,96.12093358703204,2,2,1
2020-02-06,109.94853097919183,108.89201445484147,3.5734671354755356,105.92830688964591,113.27865836887503,116.58488330481254,97.11299319198048,3,2,1
2020-02-07,118.68503885704934,109.6706799748941,4.99033984810909,106.45737361067759,109.94853097919183,113.234380216681,102.81303722609934,4,2,1
2020-02-08,113.21067964665308,110.77224514064902,4.762029499835144,106.70599069563713,118.68503885704934,105.49972348636867,105.75216709786685,5,2,1
2020-02-09,113.16440818249026,111.43307042638568,4.72119568259086,106.89700206978245,113.21067964665308,108.53863118233356,107.43406695813053,6,2,1
2020-02-10,106.03594045439844,111.73368270897872,4.2024462817565515,106.85944937891354,113.16440818249026,103.93165447624715,107.16252118046586,0,2,1
2020-02-11,106.45354305670128,111.53954279219418,4.438540929854497,107.14588370514406,106.03594045439844,107.8125224741931,97.86051326978578,1,2,1
2020-02-12,112.10011424655141,111.37117934614795,4.383589988669792,107.51548846154857,106.45354305670128,113.27865836887503,101.01197155441578,2,2,1
2020-02-13,116.47578145629896,112.3036437000204,4.712426357706672,107.9483204052385,112.10011424655141,109.94853097919183,103.49082314560084,3,2,1
2020-02-14,115.38642486161126,111.83241312924352,4.0920390362490435,108.15519811367963,116.47578145629896,118.68503885704934,109.18009360837775,4,2,1
2020-02-15,113.4166940112053,111.86184375275097,4.104326275079607,108.53386152616052,115.38642486161126,113.21067964665308,102.05679163677866,5,2,1
2020-02-16,107.11909098047808,110.99822700960638,4.409254616634128,108.46441170328876,113.4166940112053,113.16440818249026,109.2025856666305,6,2,1
2020-02-17,107.02035105137638,111.13885709488896,4.236939327366648,108.65014085222899,107.11909098047808,106.03594045439844,101.44847658316978,0,2,1
2020-02-18,111.54527787964672,111.86624778388116,3.7017846799332936,109.1684441571595,107.02035105137638,106.45354305670128,95.99617873173119,1,2,1
2020-02-19,113.23675919626776,112.02862563384063,3.7385001659656387,109.56555265054536,111.54527787964672,112.10011424655141,101.32350439469239,2,2,1
2020-02-20,120.80517771294235,112.64711081336112,4.803320119328998,110.22729513277172,113.23675919626776,116.47578145629896,100.95290324615154,3,2,1
2020-02-21,118.40381404683366,113.07816641125005,5.208429596601665,110.59904817018538,120.80517771294235,115.38642486161126,107.25122292442354,4,2,1
2020-02-22,112.17355253866859,112.90057477231622,5.2161509910331745,111.27117339699724,118.40381404683366,113.4166940112053,92.00979573431282,5,2,1
2020-02-23,114.1308569207552,113.90225562092724,4.551810530614883,111.22388436678749,112.17355253866859,107.11909098047808,115.54952782704777,6,2,1
2020-02-24,107.81919598066503,114.01637632511132,4.356330909844831,111.16620374103574,114.1308569207552,107.02035105137638,109.54961475321765,0,2,1
2020-02-25,110.30814435254767,113.83964296409718,4.496141457689311,111.03965734024398,107.81919598066503,111.54527787964672,114.10453637630042,1,2,1
2020-02-26,118.82921790964568,114.63856563743687,4.853798774829428,111.53956190269696,110.30814435254767,113.23675919626776,103.83208103605621,2,2,1
2020-02-27,115.73850128535746,113.91475471921046,4.100236039986089,111.74126348512621,118.82921790964568,120.80517771294235,109.68745381247984,3,2,1
2020-02-28,120.87259196741998,114.26743727929423,4.623504516957252,112.39200470280889,115.73850128535746,118.40381404683366,101.35035543693964,4,2,1
2020-02-29,117.73962083770263,115.06258989344194,4.681641373629886,112.43049595390522,120.87259196741998,112.17355253866859,116.58488330481254,5,2,1
2020-03-01,115.80938130010193,115.30237909049148,4.6689341176050085,112.5163293233526,117.73962083770263,114.1308569207552,113.234380216681,6,3,1
2020-03-02,113.74729881975507,116.14925092464719,3.468755219480833,112.79124850113213,115.80938130010193,107.81919598066503,105.49972348636867,0,3,1
2020-03-03,113.11544449328598,116.55029380189555,2.7734810974253907,112.94380894483055,113.74729881975507,110.30814435254767,108.53863118233356,1,3,1
2020-03-04,115.32468127068876,116.04964571061598,2.6047161008226825,113.32357650464527,113.11544449328598,118.82921790964568,103.93165447624715,2,3,1
2020-03-05,121.90387784637133,116.93041379076081,3.402259836349844,113.79328835038454,115.32468127068876,115.73850128535746,107.8125224741931,3,3,1
2020-03-06,125.62105012563818,117.60876495622055,4.5865292064013135,114.20470140894332,121.90387784637133,120.87259196741998,113.27865836887503,4,3,1
2020-03-07,118.98783995813568,117.78708197342529,4.616630207843678,114.50601170824145,125.62105012563818,117.73962083770263,109.94853097919183,5,3,1
2020-03-08,114.08592770584306,117.54087431710256,4.782652024849879,114.35270800320124,118.98783995813568,115.80938130010193,118.68503885704934,6,3,1
2020-03-09,113.4997534642485,117.50551069488736,4.816175019966006,114.3623437971211,114.08592770584306,113.74729881975507,113.21067964665308,0,3,1
2020-03-10,113.56558684203799,117.56981674470907,4.750344246704132,114.37571641910601,113.4997534642485,113.11544449328598,113.16440818249026,1,3,1
2020-03-11,113.4900000950154,117.30771943389858,4.941626391672503,114.62418507379324,113.56558684203799,115.32468127068876,106.03594045439844,2,3,1
2020-03-12,122.27069960282851,117.36012254196389,5.000088428780512,115.15142362533082,113.4900000950154,121.90387784637133,106.45354305670128,3,3,1
2020-03-13,118.6141530383148,116.35913724377485,3.5665383017356147,115.36855825172294,122.27069960282851,125.62105012563818,112.10011424655141,4,3,1
2020-03-14,121.20471622175192,116.67583385286288,3.9197927926178457,115.52618941057136,118.6141530383148,118.98783995813568,116.47578145629896,5,3,1
2020-03-15,113.47884328885367,116.58910750757869,3.9926836802995354,115.4626033581461,121.20471622175192,114.08592770584306,115.38642486161126,6,3,1
2020-03-16,113.39926623501239,116.57475218911637,4.005801506118578,115.462022432273,113.47884328885367,113.4997534642485,113.4166940112053,0,3,1
2020-03-17,115.5452317934726,116.8575586107499,3.8236904968171737,115.74289379270617,113.39926623501239,113.56558684203799,107.11909098047808,1,3,1
2020-03-18,125.75935799234016,118.61032402465344,4.727929952115178,116.36752735740495,115.5452317934726,113.4900000950154,107.02035105137638,2,3,1
2020-03-19,124.6457908364258,118.9496227723102,5.104615143413875,116.80421112263093,125.75935799234016,122.27069960282851,111.54527787964672,3,3,1
2020-03-20,127.58383225736108,120.23100551788822,6.045466839967499,117.28244689133403,124.6457908364258,118.6141530383148,113.23675919626776,4,3,1
